"locale","region","date","description","type","notes"
"sl-SI","","2024-01-01","Novo leto","NF",""
"sl-SI","","2024-01-02","Novo leto","NF",""
"sl-SI","","2024-02-08","Prešernov dan","NF",""
"sl-SI","","2024-03-31","Velikonočna nedelja","NRV",""
"sl-SI","","2024-04-01","Velikonočni ponedeljek","NRV",""
"sl-SI","","2024-04-27","Dan upora proti okupatorju","NF",""
"sl-SI","","2024-05-01","Praznik dela","NF",""
"sl-SI","","2024-05-02","Praznik dela","NF",""
"sl-SI","","2024-05-20","Binkošti","NRV",""
"sl-SI","","2024-06-25","Dan državnosti","NF",""
"sl-SI","","2024-08-15","Marijino vnebovzetje","NRF",""
"sl-SI","","2024-10-31","Dan reformacije","NRF",""
"sl-SI","","2024-11-01","Dan spomina na mrtve","NF",""
"sl-SI","","2024-12-25","Božič","NF",""
"sl-SI","","2024-12-26","Dan samostojnosti in enotnosti","NF",""
