"locale","region","date","description","type","notes"
"nb-NO","","2015-01-01","Nyttårsdag","NF",""
"nb-NO","","2015-02-15","Fastelavn","NRV",""
"nb-NO","","2015-03-29","Palmesøndag","NRV",""
"nb-NO","","2015-04-02","Skjærtorsdag","NRV",""
"nb-NO","","2015-04-03","Langfredag","NRV",""
"nb-NO","","2015-04-05","Påskedag","NRV",""
"nb-NO","","2015-04-06","Påskedag","NRV",""
"nb-NO","","2015-05-01","Offentlig Høytidsdag","NF",""
"nb-NO","","2015-05-08","Frigjøringsdag 1945","NF",""
"nb-NO","","2015-05-14","Kristi Himmelfartsdag","NRV",""
"nb-NO","","2015-05-17","Grunnlovsdag","NF",""
"nb-NO","","2015-05-24","Pinsedag","NRV",""
"nb-NO","","2015-05-25","Pinsedag","NRV",""
"nb-NO","","2015-12-24","Julaften","NRF",""
"nb-NO","","2015-12-25","Juledag","NRF",""
"nb-NO","","2015-12-26","Juledag","NRF",""
"nb-NO","","2015-12-31","Nyttårsaften","NF",""
