"locale","region","date","description","type","notes"
"it-IT","","2025-01-01","Capodanno","NF",""
"it-IT","","2025-01-06","Epifania","NRF",""
"it-IT","","2025-04-20","Pasqua","NRV",""
"it-IT","","2025-04-21","Pasquetta","NRV",""
"it-IT","","2025-04-25","Festa della liberazione","NF",""
"it-IT","","2025-05-01","Festa del lavoro","NF",""
"it-IT","","2025-06-02","Festa della repubblica","NF",""
"it-IT","","2025-08-15","Assunzione (ferragosto)","NRF",""
"it-IT","","2025-11-01","Ognissanti","NRF",""
"it-IT","","2025-12-08","Immacolata concezione","NRF",""
"it-IT","","2025-12-25","Natale","NRF",""
"it-IT","","2025-12-26","S.to Stefano","NRF",""
