"locale","region","date","description","type","notes"
"it-IT","","2014-01-01","Capodanno","NF",""
"it-IT","","2014-01-06","Epifania","NRF",""
"it-IT","","2014-04-20","Pasqua","NRV",""
"it-IT","","2014-04-21","Pasquetta","NRV",""
"it-IT","","2014-04-25","Festa della liberazione","NF",""
"it-IT","","2014-05-01","Festa del lavoro","NF",""
"it-IT","","2014-06-02","Festa della repubblica","NF",""
"it-IT","","2014-06-29","Santi Apostoli Pietro e Paolo","NRF","Solo per il comune di Roma"
"it-IT","","2014-08-15","Assunzione (ferragosto)","NRF",""
"it-IT","","2014-11-01","Ognissanti","NRF",""
"it-IT","","2014-11-02","Unità nazionale","NF",""
"it-IT","","2014-12-08","Immacolata concezione","NRF",""
"it-IT","","2014-12-25","Natale","NRF",""
"it-IT","","2014-12-26","S.to Stefano","NRF",""
