"locale","region","date","description","type","notes"
"sk-SK","","2016-01-01","Deň vzniku Slovenskej republiky","NF",""
"sk-SK","","2016-01-06","Zjavenie Pána / Traja králi","NRF",""
"sk-SK","","2016-03-25","Veľký piatok","NRV",""
"sk-SK","","2016-03-28","Veľkonočný pondelok","NRV",""
"sk-SK","","2016-05-01","Sviatok práce","NF",""
"sk-SK","","2016-05-08","Deň víťazstva nad fašizmom","NF",""
"sk-SK","","2016-07-05","Sviatok svätého Cyrila a Metoda","NRF",""
"sk-SK","","2016-08-29","Výročie SNP","NF",""
"sk-SK","","2016-09-01","Deň Ústavy Slovenskej republiky","NF",""
"sk-SK","","2016-09-15","Sedembolestná Panna Mária","NRF",""
"sk-SK","","2016-11-01","Sviatok všetkých svätých","NRF",""
"sk-SK","","2016-11-17","Deň boja za slobodu a demokraciu","NF",""
"sk-SK","","2016-12-24","Štedrý deň","NRF",""
"sk-SK","","2016-12-25","Prvý sviatok vianočný","NRF",""
"sk-SK","","2016-12-26","Druhý sviatok vianočný","NRF",""
