"locale","region","date","description","type","notes"
"it-IT","","2017-01-01","Capodanno","NF",""
"it-IT","","2017-01-06","Epifania","NRF",""
"it-IT","","2017-02-28","Carnevale","NRV",""
"it-IT","","2017-04-16","Pasqua","NRV",""
"it-IT","","2017-04-25","Festa della liberazione","NF",""
"it-IT","","2017-05-01","Festa del lavoro","NF",""
"it-IT","","2017-06-02","Festa della repubblica","NF",""
"it-IT","","2017-08-15","Assunzione (ferragosto)","NRF",""
"it-IT","","2017-11-01","Ognissanti","NRF",""
"it-IT","","2017-12-08","Immacolata concezione","NRF",""
"it-IT","","2017-12-25","Natale","NRF",""
"it-IT","","2017-12-26","S.to Stefano","NRF",""
