"locale","region","date","description","type","notes"
"es-US","","2020-01-01","Año Neuvo","NF",""
"es-US","","2020-01-20","Cumpleaños de Martin Luther King, Jr.","NV",""
"es-US","","2020-02-17","Día del Presidente","NV",""
"es-US","MA","2020-04-20","Día del Patriota","V",""
"es-US","ME","2020-04-20","Día del Patriota","V",""
"es-US","","2020-05-25","Día de los Caídos","NV",""
"es-US","","2020-07-04","Día de la Independiencia","NF",""
"es-US","","2020-09-07","Día del Trabajo","NV",""
"es-US","","2020-10-12","Día de Columbus","NV",""
"es-US","","2020-11-11","Día de los Veteranos","NF",""
"es-US","","2020-11-26","Día de Acción de Gracias","NV",""
"es-US","","2020-11-27","Día después de Acción de Gracias","NV",""
"es-US","","2020-12-24","Nochebuena","NRF",""
"es-US","","2020-12-25","Navidad","NRF",""
