"locale","region","date","description","type","notes"
"es-US","","2024-01-01","Año Neuvo","NF",""
"es-US","","2024-01-15","Cumpleaños de Martin Luther King, Jr.","NV",""
"es-US","","2024-02-19","Día del Presidente","NV",""
"es-US","MA","2024-04-15","Día del Patriota","V",""
"es-US","ME","2024-04-15","Día del Patriota","V",""
"es-US","","2024-05-27","Día de los Caídos","NV",""
"es-US","","2024-07-04","Día de la Independiencia","NF",""
"es-US","","2024-09-02","Día del Trabajo","NV",""
"es-US","","2024-10-14","Día de Columbus","NV",""
"es-US","","2024-11-11","Día de los Veteranos","NF",""
"es-US","","2024-11-22","Día después de Acción de Gracias","NV",""
"es-US","","2024-11-28","Día de Acción de Gracias","NV",""
"es-US","","2024-12-24","Nochebuena","NRF",""
"es-US","","2024-12-25","Navidad","NRF",""
