"locale","region","date","description","type","notes"
"es-US","","2026-01-01","Año Neuvo","NF",""
"es-US","","2026-01-19","Cumpleaños de Martin Luther King, Jr.","NV",""
"es-US","","2026-02-16","Día del Presidente","NV",""
"es-US","MA","2026-04-20","Día del Patriota","V",""
"es-US","ME","2026-04-20","Día del Patriota","V",""
"es-US","","2026-05-25","Día de los Caídos","NV",""
"es-US","","2026-06-19","Juneteenth – Día de la Emancipación","NF",""
"es-US","","2026-07-03","Día de la Independiencia (en lugar de)","NF",""
"es-US","","2026-07-04","Día de la Independiencia","NF",""
"es-US","","2026-09-07","Día del Trabajo","NV",""
"es-US","","2026-10-12","Día de Columbus","NV",""
"es-US","","2026-11-11","Día de los Veteranos","NF",""
"es-US","","2026-11-26","Día de Acción de Gracias","NV",""
"es-US","","2026-11-27","Día después de Acción de Gracias","NV",""
"es-US","","2026-12-24","Nochebuena","NRF",""
"es-US","","2026-12-25","Navidad","NRF",""
