"locale","region","date","description","type","notes"
"hr-HR","","2024-01-01","Nova Godina","NF",""
"hr-HR","","2024-01-06","Sveta tri kralja","NRF",""
"hr-HR","","2024-03-31","Uskrs","NRV",""
"hr-HR","","2024-04-01","Uskršnji ponedjeljak","NRV",""
"hr-HR","","2024-05-01","Praznik rada","NF",""
"hr-HR","","2024-05-30","Dan državnosti","NF",""
"hr-HR","","2024-05-30","Tijelovo","NRV",""
"hr-HR","","2024-06-22","Dan antifašističke borbe","NF",""
"hr-HR","","2024-08-05","Dan pobjede i domovinske zahvalnosti i Dan hrvatskih branitelja","NF",""
"hr-HR","","2024-08-15","Velika Gospa","NRF",""
"hr-HR","","2024-11-01","Dan svih svetih","NRF",""
"hr-HR","","2024-11-18","Dan sjećanja na žrtve Domovinskog rata i Dan sjećanja na žrtvu Vukovara i Škabrnje","NF",""
"hr-HR","","2024-12-25","Božić","NRF",""
"hr-HR","","2024-12-26","Sveti Stjepan","NRF",""
