"locale","region","date","description","type","notes"
"fr-FR","","2025-01-01","Jour de l'an","NF",""
"fr-FR","","2025-04-21","Lundi de Pâques","NRV",""
"fr-FR","","2025-05-01","Fête du premier mai","NF",""
"fr-FR","","2025-05-08","Armistice 1945","NF",""
"fr-FR","","2025-05-29","Ascension","NRV",""
"fr-FR","","2025-06-08","Pentecôte","NRV",""
"fr-FR","","2025-06-09","Lundi de Pentecôte","NRV",""
"fr-FR","","2025-07-14","Fête nationale","NF",""
"fr-FR","","2025-08-15","Assomption","NRF",""
"fr-FR","","2025-11-01","Toussaint","NRF",""
"fr-FR","","2025-11-11","Armistice 1918","NF",""
"fr-FR","","2025-12-25","Noël","NF",""
