"locale","region","date","description","type","notes"
"lv-LV","","2017-01-01","Jaunais Gads","NF",""
"lv-LV","","2017-04-14","Lielā Piektdiena","NRV",""
"lv-LV","","2017-04-16","Lieldienas","NRV",""
"lv-LV","","2017-04-17","2. Lieldienas","NRV",""
"lv-LV","","2017-05-01","Darba svētki","NF",""
"lv-LV","","2017-05-05","Latvijas Republikas Neatkarības atjaunošanas dienu","NF","05-04"
"lv-LV","","2017-06-24","Jāņi","NF",""
"lv-LV","","2017-11-18","Latvijas Republikas proklamēšanas diena","NF","11-18"
"lv-LV","","2017-12-24","Ziemassvētku vakars","NRF",""
"lv-LV","","2017-12-25","Ziemassvētki","NRF",""
"lv-LV","","2017-12-26","2. Ziemassvētki","NRF",""
"lv-LV","","2017-12-31","Vecgada vakars","NF",""
