"locale","region","date","description","type","notes"
"de-AT","","2012-01-01","Neujahr","NF",""
"de-AT","","2012-01-06","Heilige drei Könige","NRF",""
"de-AT","2","2012-03-19","Josef","RF",""
"de-AT","6","2012-03-19","Josef","RF",""
"de-AT","7","2012-03-19","Josef","RF",""
"de-AT","8","2012-03-19","Josef","RF",""
"de-AT","","2012-04-06","Karfreitag","NRV",""
"de-AT","","2012-04-08","Ostersonntag","NRV",""
"de-AT","","2012-04-09","Ostermontag","NRV",""
"de-AT","","2012-05-01","Staatsfeiertag","NF",""
"de-AT","4","2012-05-04","Florian","F",""
"de-AT","","2012-05-17","Christi Himmelfahrt","NRV",""
"de-AT","","2012-05-27","Pfingstsonntag","NRV",""
"de-AT","","2012-05-28","Pfingstmontag","NRV",""
"de-AT","","2012-06-07","Fronleichnam","NRV",""
"de-AT","","2012-08-15","Mariä Himmelfahrt","NRF",""
"de-AT","5","2012-09-24","Rupert","F",""
"de-AT","2","2012-10-10","Tag der Volksabstimmung","F",""
"de-AT","","2012-10-26","Nationalfeiertag","NF",""
"de-AT","","2012-11-01","Allerheiligen","NRF",""
"de-AT","1","2012-11-11","Martin","F",""
"de-AT","9","2012-11-15","Leopold","F",""
"de-AT","3","2012-11-15","Leopold","F",""
"de-AT","","2012-12-08","Mariä Empfängnis","NRF",""
"de-AT","","2012-12-24","Heiliger Abend","NRF",""
"de-AT","","2012-12-25","Christtag","NRF",""
"de-AT","","2012-12-26","Stefanitag","NF",""
"de-AT","","2012-12-31","Silvester","NF",""
