"locale","region","date","description","type","notes"
"be-BY","","2015-01-01","Новы Год","NF",""
"be-BY","","2015-01-07","Раство Хрыстова(праваслаўнае)","NRF",""
"be-BY","","2015-08-03","Міжнародны жаночы дзень","NF",""
"be-BY","","2015-04-20","Пасха(праваслаўная)","NRV",""
"be-BY","","2015-04-21","Радуніца","NRV",""
"be-BY","","2015-05-01","Свята працы","NF",""
"be-BY","","2015-05-09","Дзень Перамогі","NF",""
"be-BY","","2015-07-03","Дзень незалежнаці","NF",""
"be-BY","","2015-11-07","Дзень Кастрычніцкай рэвалюцыі","NF",""
"be-BY","","2015-12-25","Раство Хрыстова(у заходніх хрысціян)","NRF",""
