# Locale,  Region, Date,         Description,                   Type, Notes.
  "de-AT", "",     "2011-01-01", "Neujahr",                     "NF",  ""
  "de-AT", "",     "2011-01-06", "Heilige drei KÃ¶nige",        "NRF", ""
  "de-AT", "",     "2011-03-19", "Josef (K, St, T, V)",         "N",   ""
  "de-AT", "",     "2011-04-22", "Karfreitag",                  "NRV", ""
  "de-AT", "",     "2011-04-24", "Ostersonntag",                "NRV", ""
  "de-AT", "",     "2011-04-25", "Ostermontag",                 "NRV", ""
  "de-AT", "",     "2011-05-01", "Staatsfeiertag",              "N",   ""
  "de-AT", "",     "2011-05-04", "Florian (OÃ)",            "N",   ""
  "de-AT", "",     "2011-06-02", "Christi Himmelfahrt",         "NRV", ""
  "de-AT", "",     "2011-06-12", "Pfingstsonntag",              "N",   ""
  "de-AT", "",     "2011-06-13", "Pfingstmontag",               "N",   ""
  "de-AT", "",     "2011-06-23", "Fronleichnam",                "N",   ""
  "de-AT", "",     "2011-08-15", "MariÃ€ Himmelfahrt",          "NR",  ""
  "de-AT", "",     "2011-09-24", "Rupert (S)",                  "N",   ""
  "de-AT", "",     "2011-10-10", "Tag der Volksabstimmung (K)", "N",   ""
  "de-AT", "",     "2011-11-01", "Allerheiligen",               "NRF", ""
  "de-AT", "",     "2011-11-11", "Martin (B)",                  "N",   ""
  "de-AT", "",     "2011-11-15", "Leopold (W, NÃ)",         "N",   ""
  "de-AT", "",     "2011-12-08", "MariÃ€ EmpfÃ€ngnis",          "NRF", ""
  "de-AT", "",     "2011-12-24", "Heiliger Abend",              "NRF", ""
  "de-AT", "",     "2011-12-25", "Christtag",                   "NRF", ""
  "de-AT", "",     "2011-12-26", "Stefanitag",                  "NF",  ""
  "de-AT", "",     "2011-12-31", "Silvester",                   "NF",  ""

  "de-AT", "",     "2012-01-01", "Neujahr",                     "NF",  ""
  "de-AT", "",     "2012-01-06", "Heilige drei KÃ¶nige",        "NRF", ""
  "de-AT", "",     "2012-03-19", "Josef (K, St, T, V)",         "NRF", ""
  "de-AT", "",     "2012-04-06", "Karfreitag",                  "NRV", ""
  "de-AT", "",     "2012-04-08", "Ostersonntag",                "NRV", ""
  "de-AT", "",     "2012-04-09", "Ostermontag",                 "NRV", ""
  "de-AT", "",     "2012-05-01", "Staatsfeiertag",              "NF",  ""
  "de-AT", "",     "2012-05-04", "Florian (O)",                 "NF",  ""
  "de-AT", "",     "2012-05-17", "Christi Himmelfahrt",         "NRV", ""
  "de-AT", "",     "2012-05-27", "Pfingstsonntag",              "NRV", ""
  "de-AT", "",     "2012-05-28", "Pfingstmontag",               "NRV", ""
  "de-AT", "",     "2012-06-07", "Fronleichnam",                "NRV", ""
  "de-AT", "",     "2012-08-15", "Mariä Himmelfahrt",           "NRF", ""
  "de-AT", "",     "2012-09-24", "Rupert (S)",                  "NF",  ""
  "de-AT", "",     "2012-10-10", "Tag der Volksabstimmung (K)", "NF",  ""
  "de-AT", "",     "2012-11-01", "Allerheiligen",               "NRF", ""
  "de-AT", "",     "2012-11-11", "Martin (B)",                  "NF",  ""
  "de-AT", "",     "2012-11-15", "Leopold (W, N)",              "NF",  ""
  "de-AT", "",     "2012-12-08", "Mariä Empfängnis",            "NRF", ""
  "de-AT", "",     "2012-12-24", "Heiliger Abend",              "NRF", ""
  "de-AT", "",     "2012-12-25", "Christtag",                   "NRF", ""
  "de-AT", "",     "2012-12-26", "Stefanitag",                  "NF",  ""
  "de-AT", "",     "2012-12-31", "Silvester",                   "NF",  ""

  "de-AT", "",     "2013-01-01", "Neujahr",                     "NF",  ""
  "de-AT", "",     "2013-01-06", "Heilige drei KÃ¶nige",        "NRF", ""
  "de-AT", "",     "2013-03-19", "Josef (K, St, T, V)",         "NRF", ""
  "de-AT", "",     "2013-03-29", "Karfreitag",                  "NRV", ""
  "de-AT", "",     "2013-03-31", "Ostersonntag",                "NRV", ""
  "de-AT", "",     "2013-04-01", "Ostermontag",                 "NRV", ""
  "de-AT", "",     "2013-05-01", "Staatsfeiertag",              "NF",  ""
  "de-AT", "",     "2013-05-04", "Florian (O)",                 "NF",  ""
  "de-AT", "",     "2013-05-09", "Christi Himmelfahrt",         "NRV", ""
  "de-AT", "",     "2013-05-19", "Pfingstsonntag",              "NRV", ""
  "de-AT", "",     "2013-05-20", "Pfingstmontag",               "NRV", ""
  "de-AT", "",     "2013-05-30", "Fronleichnam",                "NRV", ""
  "de-AT", "",     "2013-08-15", "Mariä Himmelfahrt",           "NRF", ""
  "de-AT", "",     "2013-09-24", "Rupert (S)",                  "NF",  ""
  "de-AT", "",     "2013-10-10", "Tag der Volksabstimmung (K)", "NF",  ""
  "de-AT", "",     "2013-11-01", "Allerheiligen",               "NRF", ""
  "de-AT", "",     "2013-11-11", "Martin (B)",                  "NF",  ""
  "de-AT", "",     "2013-11-15", "Leopold (W, N)",              "NF",  ""
  "de-AT", "",     "2013-12-08", "Mariä Empfängnis",            "NRF", ""
  "de-AT", "",     "2013-12-24", "Heiliger Abend",              "NRF", ""
  "de-AT", "",     "2013-12-25", "Christtag",                   "NRF", ""
  "de-AT", "",     "2013-12-26", "Stefanitag",                  "NF",  ""
  "de-AT", "",     "2013-12-31", "Silvester",                   "NF",  ""

  "de-AT", "",     "2014-01-01", "Neujahr",                     "NF",  ""
  "de-AT", "",     "2014-01-06", "Heilige drei KÃ¶nige",        "NRF", ""
